threshold,accuracy,precision,recall,specificity,f1
0.1,0.5219885277246654,0.5219885277246654,1.0,0.0,0.6859296482412061
0.15000000000000002,0.5282026768642447,0.5252768415984593,0.9990842490842491,0.014,0.6885452824234775
0.20000000000000004,0.5377629063097514,0.5304432537749635,0.9972527472527473,0.036,0.6925278219395866
0.25000000000000006,0.5544933078393881,0.54,0.989010989010989,0.08,0.6985769728331178
0.30000000000000004,0.5798279158699808,0.5550957061562338,0.9826007326007326,0.14,0.7094214876033058
0.3500000000000001,0.6089866156787763,0.574295010845987,0.9697802197802198,0.215,0.7213896457765667
0.40000000000000013,0.6333652007648184,0.5922771152754117,0.9551282051282052,0.282,0.7311601822642833
0.45000000000000007,0.6486615678776291,0.6064400715563506,0.9313186813186813,0.34,0.7345612134344529
0.5000000000000001,0.6706500956022945,0.6268093140339837,0.9120879120879121,0.407,0.743006340917568
0.5500000000000002,0.6878585086042065,0.6458471760797342,0.8901098901098901,0.467,0.7485560261840585
0.6000000000000002,0.7036328871892925,0.6645746164574616,0.8727106227106227,0.519,0.7545526524148852
0.6500000000000001,0.7174952198852772,0.6862453531598512,0.8452380952380952,0.578,0.7574887156339762
0.7000000000000002,0.7237093690248566,0.7059294871794872,0.8067765567765568,0.633,0.752991452991453
0.7500000000000002,0.7237093690248566,0.7242582897033158,0.76007326007326,0.684,0.7417336907953529
0.8000000000000002,0.7174952198852772,0.778642936596218,0.6410256410256411,0.801,0.7031642390758414
0.8500000000000002,0.7007648183556405,0.8140161725067385,0.5531135531135531,0.862,0.658669574700109
0.9000000000000002,0.6352772466539197,0.8522483940042827,0.36446886446886445,0.931,0.5105837075048107
0.9500000000000003,0.5205544933078394,0.9405940594059405,0.08699633699633699,0.994,0.15926236378876782
